@relation WekaDemo

@attribute team {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute visitor {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute home_points NUMERIC
@attribute home_diff NUMERIC
@attribute home_wins NUMERIC
@attribute home_draws NUMERIC
@attribute home_loses NUMERIC
@attribute visitor_points NUMERIC
@attribute visitor_diff NUMERIC
@attribute visitor_wins NUMERIC
@attribute visitor_draws NUMERIC
@attribute visitor_loses NUMERIC
@attribute home_historial NUMERIC
@attribute visitor_historial NUMERIC
@attribute result {WIN,DRAW,LOOSE}

@data
Rayo,Valencia,35,-6,11,2,9,34,-4,10,4,8,10,10,WIN
Getafe,Osasuna,27,-10,7,6,9,19,-9,4,7,11,3,5,DRAW
Osasuna,Getafe,19,-9,4,7,11,27,-10,7,6,9,5,3,DRAW
Granada,R.Sociedad,21,-14,5,6,11,31,4,8,7,7,5,6,DRAW
R.Sociedad,Granada,31,4,8,7,7,21,-14,5,6,11,6,5,DRAW
Sevilla,Málaga,27,-2,7,6,9,36,14,10,6,6,8,5,LOOSE
Málaga,Sevilla,36,14,10,6,6,27,-2,7,6,9,5,8,WIN
R.Madrid,Espanyol,44,34,13,5,4,23,-9,5,8,9,11,8,DRAW
Espanyol,R.Madrid,23,-9,5,8,9,44,34,13,5,4,8,11,DRAW
Deportivo,Valladolid,17,-19,3,8,11,29,3,8,5,9,5,7,DRAW
Valladolid,Deportivo,29,3,8,5,9,17,-19,3,8,11,7,5,DRAW
Barcelona,Atlético,59,47,19,2,1,48,21,15,3,4,10,8,WIN
Atlético,Barcelona,48,21,15,3,4,59,47,19,2,1,8,10,LOOSE
Celta,Betis,21,-5,5,6,11,36,-2,11,3,8,6,8,LOOSE
Betis,Celta,36,-2,11,3,8,21,-5,5,6,11,8,6,WIN
Mallorca,Athletic,18,-17,4,6,12,26,-13,7,5,10,2,5,LOOSE
Athletic,Mallorca,26,-13,7,5,10,18,-17,4,6,12,5,2,WIN
Zaragoza,Levante,24,-9,7,3,12,34,-4,10,4,8,2,7,LOOSE
Levante,Zaragoza,34,-4,10,4,8,24,-9,7,3,12,7,2,WIN
Osasuna,Valencia,19,-9,4,7,11,34,-4,10,4,8,5,10,LOOSE
Valencia,Osasuna,34,-4,10,4,8,19,-9,4,7,11,10,5,WIN
R.Sociedad,Getafe,31,4,8,7,7,27,-10,7,6,9,6,3,DRAW
Getafe,R.Sociedad,27,-10,7,6,9,31,4,8,7,7,3,6,DRAW
Málaga,Granada,36,14,10,6,6,21,-14,5,6,11,5,5,WIN
Granada,Málaga,21,-14,5,6,11,36,14,10,6,6,5,5,LOOSE
Espanyol,Sevilla,23,-9,5,8,9,27,-2,7,6,9,8,8,DRAW
Sevilla,Espanyol,27,-2,7,6,9,23,-9,5,8,9,8,8,DRAW
Valladolid,R.Madrid,29,3,8,5,9,44,34,13,5,4,7,11,LOOSE
R.Madrid,Valladolid,44,34,13,5,4,29,3,8,5,9,11,7,WIN
Atlético,Deportivo,48,21,15,3,4,17,-19,3,8,11,8,5,WIN
Deportivo,Atlético,17,-19,3,8,11,48,21,15,3,4,5,8,LOOSE
Betis,Barcelona,36,-2,11,3,8,59,47,19,2,1,8,10,LOOSE
Barcelona,Betis,59,47,19,2,1,36,-2,11,3,8,10,8,WIN
Athletic,Celta,26,-13,7,5,10,21,-5,5,6,11,5,6,WIN
Celta,Athletic,21,-5,5,6,11,26,-13,7,5,10,6,5,LOOSE
Levante,Mallorca,34,-4,10,4,8,18,-17,4,6,12,7,2,WIN
Mallorca,Levante,18,-17,4,6,12,34,-4,10,4,8,2,7,LOOSE
Rayo,Zaragoza,35,-6,11,2,9,24,-9,7,3,12,10,2,LOOSE
Zaragoza,Rayo,24,-9,7,3,12,35,-6,11,2,9,2,10,WIN
Barcelona,Athletic,59,47,19,2,1,26,-13,7,5,10,10,5,WIN
Athletic,Barcelona,26,-13,7,5,10,59,47,19,2,1,5,10,LOOSE
Celta,Levante,21,-5,5,6,11,34,-4,10,4,8,6,7,DRAW
Levante,Celta,34,-4,10,4,8,21,-5,5,6,11,7,6,DRAW
Mallorca,Zaragoza,18,-17,4,6,12,24,-9,7,3,12,2,2,DRAW
Zaragoza,Mallorca,24,-9,7,3,12,18,-17,4,6,12,2,2,DRAW
Osasuna,Rayo,19,-9,4,7,11,35,-6,11,2,9,5,10,WIN
Rayo,Osasuna,35,-6,11,2,9,19,-9,4,7,11,10,5,LOOSE
Valencia,R.Sociedad,34,-4,10,4,8,31,4,8,7,7,10,6,LOOSE
R.Sociedad,Valencia,31,4,8,7,7,34,-4,10,4,8,6,10,WIN
Getafe,Málaga,27,-10,7,6,9,36,14,10,6,6,3,5,WIN
Málaga,Getafe,36,14,10,6,6,27,-10,7,6,9,5,3,LOOSE
Granada,Espanyol,21,-14,5,6,11,23,-9,5,8,9,5,8,DRAW
Espanyol,Granada,23,-9,5,8,9,21,-14,5,6,11,8,5,DRAW
Sevilla,Valladolid,27,-2,7,6,9,29,3,8,5,9,8,7,LOOSE
Valladolid,Sevilla,29,3,8,5,9,27,-2,7,6,9,7,8,WIN
R.Madrid,Atlético,44,34,13,5,4,48,21,15,3,4,11,8,WIN
Atlético,R.Madrid,48,21,15,3,4,44,34,13,5,4,8,11,LOOSE
Deportivo,Betis,17,-19,3,8,11,36,-2,11,3,8,5,8,LOOSE
Betis,Deportivo,36,-2,11,3,8,17,-19,3,8,11,8,5,WIN
Valladolid,Granada,29,3,8,5,9,21,-14,5,6,11,7,5,WIN
Granada,Valladolid,21,-14,5,6,11,29,3,8,5,9,5,7,LOOSE
Atlético,Sevilla,48,21,15,3,4,27,-2,7,6,9,8,8,WIN
Sevilla,Atlético,27,-2,7,6,9,48,21,15,3,4,8,8,LOOSE
Betis,R.Madrid,36,-2,11,3,8,44,34,13,5,4,8,11,WIN
R.Madrid,Betis,44,34,13,5,4,36,-2,11,3,8,11,8,LOOSE
Athletic,Deportivo,26,-13,7,5,10,17,-19,3,8,11,5,5,DRAW
Deportivo,Athletic,17,-19,3,8,11,26,-13,7,5,10,5,5,DRAW
Levante,Barcelona,34,-4,10,4,8,59,47,19,2,1,7,10,LOOSE
Barcelona,Levante,59,47,19,2,1,34,-4,10,4,8,10,7,WIN
Zaragoza,Celta,24,-9,7,3,12,21,-5,5,6,11,2,6,LOOSE
Celta,Zaragoza,21,-5,5,6,11,24,-9,7,3,12,6,2,WIN
Rayo,Mallorca,35,-6,11,2,9,18,-17,4,6,12,10,2,WIN
Mallorca,Rayo,18,-17,4,6,12,35,-6,11,2,9,2,10,LOOSE
R.Sociedad,Osasuna,31,4,8,7,7,19,-9,4,7,11,6,5,DRAW
Osasuna,R.Sociedad,19,-9,4,7,11,31,4,8,7,7,5,6,DRAW
Málaga,Valencia,36,14,10,6,6,34,-4,10,4,8,5,10,WIN
Valencia,Málaga,34,-4,10,4,8,36,14,10,6,6,10,5,LOOSE
Espanyol,Getafe,23,-9,5,8,9,27,-10,7,6,9,8,3,LOOSE
Getafe,Espanyol,27,-10,7,6,9,23,-9,5,8,9,3,8,WIN
R.Sociedad,Rayo,31,4,8,7,7,35,-6,11,2,9,6,10,WIN
Rayo,R.Sociedad,35,-6,11,2,9,31,4,8,7,7,10,6,LOOSE
Osasuna,Málaga,19,-9,4,7,11,36,14,10,6,6,5,5,DRAW
Málaga,Osasuna,36,14,10,6,6,19,-9,4,7,11,5,5,DRAW
Valencia,Espanyol,34,-4,10,4,8,23,-9,5,8,9,10,8,WIN
Espanyol,Valencia,23,-9,5,8,9,34,-4,10,4,8,8,10,LOOSE
Getafe,Valladolid,27,-10,7,6,9,29,3,8,5,9,3,7,WIN
Valladolid,Getafe,29,3,8,5,9,27,-10,7,6,9,7,3,LOOSE
Granada,Atlético,21,-14,5,6,11,48,21,15,3,4,5,8,LOOSE
Atlético,Granada,48,21,15,3,4,21,-14,5,6,11,8,5,WIN
Sevilla,Betis,27,-2,7,6,9,36,-2,11,3,8,8,8,WIN
Betis,Sevilla,36,-2,11,3,8,27,-2,7,6,9,8,8,LOOSE
R.Madrid,Athletic,44,34,13,5,4,26,-13,7,5,10,11,5,WIN
Athletic,R.Madrid,26,-13,7,5,10,44,34,13,5,4,5,11,LOOSE
Deportivo,Levante,17,-19,3,8,11,34,-4,10,4,8,5,7,LOOSE
Levante,Deportivo,34,-4,10,4,8,17,-19,3,8,11,7,5,WIN
Barcelona,Zaragoza,59,47,19,2,1,24,-9,7,3,12,10,2,WIN
Zaragoza,Barcelona,24,-9,7,3,12,59,47,19,2,1,2,10,LOOSE
Celta,Mallorca,21,-5,5,6,11,18,-17,4,6,12,6,2,DRAW
Mallorca,Celta,18,-17,4,6,12,21,-5,5,6,11,2,6,DRAW
Atlético,Getafe,48,21,15,3,4,27,-10,7,6,9,8,3,WIN
Getafe,Atlético,27,-10,7,6,9,48,21,15,3,4,3,8,LOOSE
Levante,R.Madrid,34,-4,10,4,8,44,34,13,5,4,7,11,LOOSE
R.Madrid,Levante,44,34,13,5,4,34,-4,10,4,8,11,7,WIN
Mallorca,Barcelona,18,-17,4,6,12,59,47,19,2,1,2,10,LOOSE
Barcelona,Mallorca,59,47,19,2,1,18,-17,4,6,12,10,2,WIN
Athletic,Sevilla,26,-13,7,5,10,27,-2,7,6,9,5,8,WIN
Sevilla,Athletic,27,-2,7,6,9,26,-13,7,5,10,8,5,LOOSE
Valladolid,Valencia,29,3,8,5,9,34,-4,10,4,8,7,10,DRAW
Valencia,Valladolid,34,-4,10,4,8,29,3,8,5,9,10,7,DRAW
Málaga,R.Sociedad,36,14,10,6,6,31,4,8,7,7,5,6,LOOSE
R.Sociedad,Málaga,31,4,8,7,7,36,14,10,6,6,6,5,WIN
Zaragoza,Deportivo,24,-9,7,3,12,17,-19,3,8,11,2,5,WIN
Deportivo,Zaragoza,17,-19,3,8,11,24,-9,7,3,12,5,2,LOOSE
Espanyol,Osasuna,23,-9,5,8,9,19,-9,4,7,11,8,5,LOOSE
Osasuna,Espanyol,19,-9,4,7,11,23,-9,5,8,9,5,8,WIN
Rayo,Celta,35,-6,11,2,9,21,-5,5,6,11,10,6,WIN
Celta,Rayo,21,-5,5,6,11,35,-6,11,2,9,6,10,LOOSE
Betis,Granada,36,-2,11,3,8,21,-14,5,6,11,8,5,LOOSE
Granada,Betis,21,-14,5,6,11,36,-2,11,3,8,5,8,WIN
Málaga,Rayo,36,14,10,6,6,35,-6,11,2,9,5,10,LOOSE
Rayo,Málaga,35,-6,11,2,9,36,14,10,6,6,10,5,WIN
R.Sociedad,Espanyol,31,4,8,7,7,23,-9,5,8,9,6,8,LOOSE
Espanyol,R.Sociedad,23,-9,5,8,9,31,4,8,7,7,8,6,WIN
Osasuna,Valladolid,19,-9,4,7,11,29,3,8,5,9,5,7,LOOSE
Valladolid,Osasuna,29,3,8,5,9,19,-9,4,7,11,7,5,WIN
Granada,Athletic,21,-14,5,6,11,26,-13,7,5,10,5,5,LOOSE
Athletic,Granada,26,-13,7,5,10,21,-14,5,6,11,5,5,WIN
Sevilla,Levante,27,-2,7,6,9,34,-4,10,4,8,8,7,DRAW
Levante,Sevilla,34,-4,10,4,8,27,-2,7,6,9,7,8,DRAW
R.Madrid,Zaragoza,44,34,13,5,4,24,-9,7,3,12,11,2,WIN
Zaragoza,R.Madrid,24,-9,7,3,12,44,34,13,5,4,2,11,LOOSE
Deportivo,Mallorca,17,-19,3,8,11,18,-17,4,6,12,5,2,WIN
Mallorca,Deportivo,18,-17,4,6,12,17,-19,3,8,11,2,5,LOOSE
Barcelona,Celta,59,47,19,2,1,21,-5,5,6,11,10,6,WIN
Celta,Barcelona,21,-5,5,6,11,59,47,19,2,1,6,10,LOOSE
Valencia,Atlético,34,-4,10,4,8,48,21,15,3,4,10,8,WIN
Atlético,Valencia,48,21,15,3,4,34,-4,10,4,8,8,10,LOOSE
Getafe,Betis,27,-10,7,6,9,36,-2,11,3,8,3,8,LOOSE
Betis,Getafe,36,-2,11,3,8,27,-10,7,6,9,8,3,WIN
Espanyol,Málaga,23,-9,5,8,9,36,14,10,6,6,8,5,DRAW
Málaga,Espanyol,36,14,10,6,6,23,-9,5,8,9,5,8,DRAW
Valladolid,R.Sociedad,29,3,8,5,9,31,4,8,7,7,7,6,DRAW
R.Sociedad,Valladolid,31,4,8,7,7,29,3,8,5,9,6,7,DRAW
Atlético,Osasuna,48,21,15,3,4,19,-9,4,7,11,8,5,WIN
Osasuna,Atlético,19,-9,4,7,11,48,21,15,3,4,5,8,LOOSE
Betis,Valencia,36,-2,11,3,8,34,-4,10,4,8,8,10,WIN
