@relation WekaDemo

@attribute team {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute visitor {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute home_points NUMERIC
@attribute home_diff NUMERIC
@attribute home_wins NUMERIC
@attribute home_draws NUMERIC
@attribute home_loses NUMERIC
@attribute visitor_points NUMERIC
@attribute visitor_diff NUMERIC
@attribute visitor_wins NUMERIC
@attribute visitor_draws NUMERIC
@attribute visitor_loses NUMERIC
@attribute home_historial NUMERIC
@attribute visitor_historial NUMERIC
@attribute result {WIN,DRAW,LOOSE}

@data
Mirandés,Elche,24,-6,5,9,9,53,22,16,5,2,5,15,LOOSE
Elche,Mirandés,53,22,16,5,2,24,-6,5,9,9,15,5,WIN
Numancia,Lugo,29,-2,7,8,8,33,-4,9,6,8,6,6,WIN
Lugo,Numancia,33,-4,9,6,8,29,-2,7,8,8,6,6,LOOSE
Murcia,Racing,27,-5,7,6,10,18,-17,4,6,13,8,5,WIN
Racing,Murcia,18,-17,4,6,13,27,-5,7,6,10,5,8,LOOSE
Guadalajara,Ponferradina,25,-5,6,7,10,32,0,10,2,11,1,3,WIN
Ponferradina,Guadalajara,32,0,10,2,11,25,-5,6,7,10,3,1,LOOSE
Sabadell,Hércules,33,6,9,6,8,20,-14,5,5,13,8,3,LOOSE
Hércules,Sabadell,20,-14,5,5,13,33,6,9,6,8,3,8,WIN
RMCastilla,LasPalmas,25,0,7,4,12,36,1,10,6,7,6,4,WIN
LasPalmas,RMCastilla,36,1,10,6,7,25,0,7,4,12,4,6,LOOSE
Almería,Córdoba,42,12,12,6,5,36,6,10,6,7,12,5,WIN
Córdoba,Almería,36,6,10,6,7,42,12,12,6,5,5,12,LOOSE
BarcelonaB,Sporting,39,15,11,6,6,28,-1,6,10,7,9,2,WIN
Sporting,BarcelonaB,28,-1,6,10,7,39,15,11,6,6,2,9,LOOSE
Villarreal,Huesca,35,4,9,8,6,23,-9,5,8,10,13,8,DRAW
Huesca,Villarreal,23,-9,5,8,10,35,4,9,8,6,8,13,DRAW
Girona,Recreativo,41,15,12,5,6,31,-7,9,4,10,10,7,WIN
Recreativo,Girona,31,-7,9,4,10,41,15,12,5,6,7,10,LOOSE
Alcorcón,Mirandés,41,4,13,2,8,24,-6,5,9,9,10,5,WIN
Mirandés,Alcorcón,24,-6,5,9,9,41,4,13,2,8,5,10,LOOSE
Elche,Numancia,53,22,16,5,2,29,-2,7,8,8,15,6,WIN
Numancia,Elche,29,-2,7,8,8,53,22,16,5,2,6,15,LOOSE
Lugo,Murcia,33,-4,9,6,8,27,-5,7,6,10,6,8,WIN
Murcia,Lugo,27,-5,7,6,10,33,-4,9,6,8,8,6,LOOSE
Xerez,Racing,22,-15,5,7,11,18,-17,4,6,13,6,5,DRAW
Racing,Xerez,18,-17,4,6,13,22,-15,5,7,11,5,6,DRAW
Ponferradina,Xerez,32,0,10,2,11,22,-15,5,7,11,3,6,LOOSE
Xerez,Ponferradina,22,-15,5,7,11,32,0,10,2,11,6,3,WIN
Hércules,Guadalajara,20,-14,5,5,13,25,-5,6,7,10,3,1,DRAW
Guadalajara,Hércules,25,-5,6,7,10,20,-14,5,5,13,1,3,DRAW
LasPalmas,Sabadell,36,1,10,6,7,33,6,9,6,8,4,8,WIN
Sabadell,LasPalmas,33,6,9,6,8,36,1,10,6,7,8,4,LOOSE
Córdoba,RMCastilla,36,6,10,6,7,25,0,7,4,12,5,6,WIN
RMCastilla,Córdoba,25,0,7,4,12,36,6,10,6,7,6,5,LOOSE
Sporting,Almería,28,-1,6,10,7,42,12,12,6,5,2,12,WIN
Almería,Sporting,42,12,12,6,5,28,-1,6,10,7,12,2,LOOSE
Huesca,BarcelonaB,23,-9,5,8,10,39,15,11,6,6,8,9,LOOSE
BarcelonaB,Huesca,39,15,11,6,6,23,-9,5,8,10,9,8,WIN
Recreativo,Villarreal,31,-7,9,4,10,35,4,9,8,6,7,13,WIN
Villarreal,Recreativo,35,4,9,8,6,31,-7,9,4,10,13,7,LOOSE
Mirandés,Girona,24,-6,5,9,9,41,15,12,5,6,5,10,DRAW
Girona,Mirandés,41,15,12,5,6,24,-6,5,9,9,10,5,DRAW
Numancia,Alcorcón,29,-2,7,8,8,41,4,13,2,8,6,10,LOOSE
Alcorcón,Numancia,41,4,13,2,8,29,-2,7,8,8,10,6,WIN
Murcia,Elche,27,-5,7,6,10,53,22,16,5,2,8,15,WIN
Elche,Murcia,53,22,16,5,2,27,-5,7,6,10,15,8,LOOSE
Racing,Lugo,18,-17,4,6,13,33,-4,9,6,8,5,6,DRAW
Lugo,Racing,33,-4,9,6,8,18,-17,4,6,13,6,5,DRAW
Ponferradina,Hércules,32,0,10,2,11,20,-14,5,5,13,3,3,WIN
Hércules,Ponferradina,20,-14,5,5,13,32,0,10,2,11,3,3,LOOSE
Guadalajara,LasPalmas,25,-5,6,7,10,36,1,10,6,7,1,4,LOOSE
LasPalmas,Guadalajara,36,1,10,6,7,25,-5,6,7,10,4,1,WIN
Sabadell,Córdoba,33,6,9,6,8,36,6,10,6,7,8,5,DRAW
Córdoba,Sabadell,36,6,10,6,7,33,6,9,6,8,5,8,DRAW
RMCastilla,Sporting,25,0,7,4,12,28,-1,6,10,7,6,2,LOOSE
Sporting,RMCastilla,28,-1,6,10,7,25,0,7,4,12,2,6,WIN
Almería,Huesca,42,12,12,6,5,23,-9,5,8,10,12,8,WIN
Huesca,Almería,23,-9,5,8,10,42,12,12,6,5,8,12,LOOSE
BarcelonaB,Recreativo,39,15,11,6,6,31,-7,9,4,10,9,7,LOOSE
Recreativo,BarcelonaB,31,-7,9,4,10,39,15,11,6,6,7,9,WIN
Villarreal,Mirandés,35,4,9,8,6,24,-6,5,9,9,13,5,WIN
Mirandés,Villarreal,24,-6,5,9,9,35,4,9,8,6,5,13,LOOSE
Girona,Numancia,41,15,12,5,6,29,-2,7,8,8,10,6,WIN
Numancia,Girona,29,-2,7,8,8,41,15,12,5,6,6,10,LOOSE
Alcorcón,Murcia,41,4,13,2,8,27,-5,7,6,10,10,8,WIN
Murcia,Alcorcón,27,-5,7,6,10,41,4,13,2,8,8,10,LOOSE
Elche,Racing,53,22,16,5,2,18,-17,4,6,13,15,5,WIN
Racing,Elche,18,-17,4,6,13,53,22,16,5,2,5,15,LOOSE
Xerez,Lugo,22,-15,5,7,11,33,-4,9,6,8,6,6,WIN
Lugo,Xerez,33,-4,9,6,8,22,-15,5,7,11,6,6,LOOSE
Hércules,Xerez,20,-14,5,5,13,22,-15,5,7,11,3,6,LOOSE
Xerez,Hércules,22,-15,5,7,11,20,-14,5,5,13,6,3,WIN
LasPalmas,Ponferradina,36,1,10,6,7,32,0,10,2,11,4,3,WIN
Ponferradina,LasPalmas,32,0,10,2,11,36,1,10,6,7,3,4,LOOSE
Córdoba,Guadalajara,36,6,10,6,7,25,-5,6,7,10,5,1,WIN
Guadalajara,Córdoba,25,-5,6,7,10,36,6,10,6,7,1,5,LOOSE
Sporting,Sabadell,28,-1,6,10,7,33,6,9,6,8,2,8,DRAW
Sabadell,Sporting,33,6,9,6,8,28,-1,6,10,7,8,2,DRAW
Huesca,RMCastilla,23,-9,5,8,10,25,0,7,4,12,8,6,DRAW
RMCastilla,Huesca,25,0,7,4,12,23,-9,5,8,10,6,8,DRAW
Recreativo,Almería,31,-7,9,4,10,42,12,12,6,5,7,12,LOOSE
Almería,Recreativo,42,12,12,6,5,31,-7,9,4,10,12,7,WIN
Mirandés,BarcelonaB,24,-6,5,9,9,39,15,11,6,6,5,9,WIN
BarcelonaB,Mirandés,39,15,11,6,6,24,-6,5,9,9,9,5,LOOSE
Numancia,Villarreal,29,-2,7,8,8,35,4,9,8,6,6,13,DRAW
Villarreal,Numancia,35,4,9,8,6,29,-2,7,8,8,13,6,DRAW
Murcia,Girona,27,-5,7,6,10,41,15,12,5,6,8,10,LOOSE
Girona,Murcia,41,15,12,5,6,27,-5,7,6,10,10,8,WIN
Racing,Alcorcón,18,-17,4,6,13,41,4,13,2,8,5,10,WIN
Alcorcón,Racing,41,4,13,2,8,18,-17,4,6,13,10,5,LOOSE
Lugo,Elche,33,-4,9,6,8,53,22,16,5,2,6,15,WIN
Elche,Lugo,53,22,16,5,2,33,-4,9,6,8,15,6,LOOSE
Hércules,LasPalmas,20,-14,5,5,13,36,1,10,6,7,3,4,LOOSE
LasPalmas,Hércules,36,1,10,6,7,20,-14,5,5,13,4,3,WIN
Ponferradina,Córdoba,32,0,10,2,11,36,6,10,6,7,3,5,LOOSE
Córdoba,Ponferradina,36,6,10,6,7,32,0,10,2,11,5,3,WIN
Guadalajara,Sporting,25,-5,6,7,10,28,-1,6,10,7,1,2,WIN
Sporting,Guadalajara,28,-1,6,10,7,25,-5,6,7,10,2,1,LOOSE
Sabadell,Huesca,33,6,9,6,8,23,-9,5,8,10,8,8,WIN
Huesca,Sabadell,23,-9,5,8,10,33,6,9,6,8,8,8,LOOSE
RMCastilla,Recreativo,25,0,7,4,12,31,-7,9,4,10,6,7,LOOSE
Recreativo,RMCastilla,31,-7,9,4,10,25,0,7,4,12,7,6,WIN
Almería,Mirandés,42,12,12,6,5,24,-6,5,9,9,12,5,DRAW
Mirandés,Almería,24,-6,5,9,9,42,12,12,6,5,5,12,DRAW
BarcelonaB,Numancia,39,15,11,6,6,29,-2,7,8,8,9,6,DRAW
Numancia,BarcelonaB,29,-2,7,8,8,39,15,11,6,6,6,9,DRAW
Villarreal,Murcia,35,4,9,8,6,27,-5,7,6,10,13,8,DRAW
Murcia,Villarreal,27,-5,7,6,10,35,4,9,8,6,8,13,DRAW
Girona,Racing,41,15,12,5,6,18,-17,4,6,13,10,5,WIN
Racing,Girona,18,-17,4,6,13,41,15,12,5,6,5,10,LOOSE
Alcorcón,Lugo,41,4,13,2,8,33,-4,9,6,8,10,6,WIN
Lugo,Alcorcón,33,-4,9,6,8,41,4,13,2,8,6,10,LOOSE
Xerez,Elche,22,-15,5,7,11,53,22,16,5,2,6,15,DRAW
Elche,Xerez,53,22,16,5,2,22,-15,5,7,11,15,6,DRAW
LasPalmas,Xerez,36,1,10,6,7,22,-15,5,7,11,4,6,DRAW
Xerez,LasPalmas,22,-15,5,7,11,36,1,10,6,7,6,4,DRAW
Córdoba,Hércules,36,6,10,6,7,20,-14,5,5,13,5,3,LOOSE
Hércules,Córdoba,20,-14,5,5,13,36,6,10,6,7,3,5,WIN
Sporting,Ponferradina,28,-1,6,10,7,32,0,10,2,11,2,3,LOOSE
Ponferradina,Sporting,32,0,10,2,11,28,-1,6,10,7,3,2,WIN
Huesca,Guadalajara,23,-9,5,8,10,25,-5,6,7,10,8,1,WIN
Guadalajara,Huesca,25,-5,6,7,10,23,-9,5,8,10,1,8,LOOSE
Recreativo,Sabadell,31,-7,9,4,10,33,6,9,6,8,7,8,LOOSE
Sabadell,Recreativo,33,6,9,6,8,31,-7,9,4,10,8,7,WIN
Mirandés,RMCastilla,24,-6,5,9,9,25,0,7,4,12,5,6,DRAW
RMCastilla,Mirandés,25,0,7,4,12,24,-6,5,9,9,6,5,DRAW
Numancia,Almería,29,-2,7,8,8,42,12,12,6,5,6,12,DRAW
Almería,Numancia,42,12,12,6,5,29,-2,7,8,8,12,6,DRAW
Murcia,BarcelonaB,27,-5,7,6,10,39,15,11,6,6,8,9,WIN
BarcelonaB,Murcia,39,15,11,6,6,27,-5,7,6,10,9,8,LOOSE
Racing,Villarreal,18,-17,4,6,13,35,4,9,8,6,5,13,LOOSE
Villarreal,Racing,35,4,9,8,6,18,-17,4,6,13,13,5,WIN
Lugo,Girona,33,-4,9,6,8,41,15,12,5,6,6,10,LOOSE
Girona,Lugo,41,15,12,5,6,33,-4,9,6,8,10,6,WIN
Elche,Alcorcón,53,22,16,5,2,41,4,13,2,8,15,10,WIN
Alcorcón,Elche,41,4,13,2,8,53,22,16,5,2,10,15,LOOSE
LasPalmas,Córdoba,36,1,10,6,7,36,6,10,6,7,4,5,WIN
Córdoba,LasPalmas,36,6,10,6,7,36,1,10,6,7,5,4,LOOSE
Hércules,Sporting,20,-14,5,5,13,28,-1,6,10,7,3,2,DRAW
Sporting,Hércules,28,-1,6,10,7,20,-14,5,5,13,2,3,DRAW
Ponferradina,Huesca,32,0,10,2,11,23,-9,5,8,10,3,8,WIN
Huesca,Ponferradina,23,-9,5,8,10,32,0,10,2,11,8,3,LOOSE
Guadalajara,Recreativo,25,-5,6,7,10,31,-7,9,4,10,1,7,WIN
Recreativo,Guadalajara,31,-7,9,4,10,25,-5,6,7,10,7,1,LOOSE
Sabadell,Mirandés,33,6,9,6,8,24,-6,5,9,9,8,5,DRAW
Mirandés,Sabadell,24,-6,5,9,9,33,6,9,6,8,5,8,DRAW
RMCastilla,Numancia,25,0,7,4,12,29,-2,7,8,8,6,6,LOOSE
Numancia,RMCastilla,29,-2,7,8,8,25,0,7,4,12,6,6,WIN
Almería,Murcia,42,12,12,6,5,27,-5,7,6,10,12,8,WIN
Murcia,Almería,27,-5,7,6,10,42,12,12,6,5,8,12,LOOSE
BarcelonaB,Racing,39,15,11,6,6,18,-17,4,6,13,9,5,WIN
Racing,BarcelonaB,18,-17,4,6,13,39,15,11,6,6,5,9,LOOSE
Villarreal,Lugo,35,4,9,8,6,33,-4,9,6,8,13,6,DRAW
Lugo,Villarreal,33,-4,9,6,8,35,4,9,8,6,6,13,DRAW
Girona,Elche,41,15,12,5,6,53,22,16,5,2,10,15,LOOSE
Elche,Girona,53,22,16,5,2,41,15,12,5,6,15,10,WIN
Xerez,Alcorcón,22,-15,5,7,11,41,4,13,2,8,6,10,LOOSE
Alcorcón,Xerez,41,4,13,2,8,22,-15,5,7,11,10,6,WIN
Sporting,LasPalmas,28,-1,6,10,7,36,1,10,6,7,2,4,DRAW
LasPalmas,Sporting,36,1,10,6,7,28,-1,6,10,7,4,2,DRAW
Huesca,Hércules,23,-9,5,8,10,20,-14,5,5,13,8,3,DRAW
Hércules,Huesca,20,-14,5,5,13,23,-9,5,8,10,3,8,DRAW
Recreativo,Ponferradina,31,-7,9,4,10,32,0,10,2,11,7,3,LOOSE
Ponferradina,Recreativo,32,0,10,2,11,31,-7,9,4,10,3,7,WIN
Mirandés,Guadalajara,24,-6,5,9,9,25,-5,6,7,10,5,1,DRAW
Guadalajara,Mirandés,25,-5,6,7,10,24,-6,5,9,9,1,5,DRAW
Numancia,Sabadell,29,-2,7,8,8,33,6,9,6,8,6,8,WIN
Sabadell,Numancia,33,6,9,6,8,29,-2,7,8,8,8,6,LOOSE
Murcia,RMCastilla,27,-5,7,6,10,25,0,7,4,12,8,6,DRAW
RMCastilla,Murcia,25,0,7,4,12,27,-5,7,6,10,6,8,DRAW
Racing,Almería,18,-17,4,6,13,42,12,12,6,5,5,12,LOOSE
Almería,Racing,42,12,12,6,5,18,-17,4,6,13,12,5,WIN
Lugo,BarcelonaB,33,-4,9,6,8,39,15,11,6,6,6,9,LOOSE
BarcelonaB,Lugo,39,15,11,6,6,33,-4,9,6,8,9,6,WIN
Elche,Villarreal,53,22,16,5,2,35,4,9,8,6,15,13,WIN
Villarreal,Elche,35,4,9,8,6,53,22,16,5,2,13,15,LOOSE
Alcorcón,Girona,41,4,13,2,8,41,15,12,5,6,10,10,WIN
Girona,Alcorcón,41,15,12,5,6,41,4,13,2,8,10,10,LOOSE
Córdoba,Xerez,36,6,10,6,7,22,-15,5,7,11,5,6,DRAW
Xerez,Córdoba,22,-15,5,7,11,36,6,10,6,7,6,5,DRAW
Córdoba,Sporting,36,6,10,6,7,28,-1,6,10,7,5,2,DRAW
Sporting,Córdoba,28,-1,6,10,7,36,6,10,6,7,2,5,DRAW
LasPalmas,Huesca,36,1,10,6,7,23,-9,5,8,10,4,8,WIN
Huesca,LasPalmas,23,-9,5,8,10,36,1,10,6,7,8,4,LOOSE
Hércules,Recreativo,20,-14,5,5,13,31,-7,9,4,10,3,7,DRAW
Recreativo,Hércules,31,-7,9,4,10,20,-14,5,5,13,7,3,DRAW
Ponferradina,Mirandés,32,0,10,2,11,24,-6,5,9,9,3,5,WIN
Mirandés,Ponferradina,24,-6,5,9,9,32,0,10,2,11,5,3,LOOSE
Guadalajara,Numancia,25,-5,6,7,10,29,-2,7,8,8,1,6,WIN
Numancia,Guadalajara,29,-2,7,8,8,25,-5,6,7,10,6,1,LOOSE
Sabadell,Murcia,33,6,9,6,8,27,-5,7,6,10,8,8,DRAW
Murcia,Sabadell,27,-5,7,6,10,33,6,9,6,8,8,8,DRAW
RMCastilla,Racing,25,0,7,4,12,18,-17,4,6,13,6,5,WIN
Racing,RMCastilla,18,-17,4,6,13,25,0,7,4,12,5,6,LOOSE
Almería,Lugo,42,12,12,6,5,33,-4,9,6,8,12,6,LOOSE
Lugo,Almería,33,-4,9,6,8,42,12,12,6,5,6,12,WIN
BarcelonaB,Elche,39,15,11,6,6,53,22,16,5,2,9,15,DRAW
Elche,BarcelonaB,53,22,16,5,2,39,15,11,6,6,15,9,DRAW
Villarreal,Alcorcón,35,4,9,8,6,41,4,13,2,8,13,10,WIN
Alcorcón,Villarreal,41,4,13,2,8,35,4,9,8,6,10,13,LOOSE
Xerez,Girona,22,-15,5,7,11,41,15,12,5,6,6,10,LOOSE
Girona,Xerez,41,15,12,5,6,22,-15,5,7,11,10,6,WIN
Sporting,Xerez,28,-1,6,10,7,22,-15,5,7,11,2,6,WIN
Xerez,Sporting,22,-15,5,7,11,28,-1,6,10,7,6,2,LOOSE
Huesca,Córdoba,23,-9,5,8,10,36,6,10,6,7,8,5,LOOSE
Córdoba,Huesca,36,6,10,6,7,23,-9,5,8,10,5,8,WIN
Recreativo,LasPalmas,31,-7,9,4,10,36,1,10,6,7,7,4,DRAW
LasPalmas,Recreativo,36,1,10,6,7,31,-7,9,4,10,4,7,DRAW
Mirandés,Hércules,24,-6,5,9,9,20,-14,5,5,13,5,3,WIN
Hércules,Mirandés,20,-14,5,5,13,24,-6,5,9,9,3,5,LOOSE
Numancia,Ponferradina,29,-2,7,8,8,32,0,10,2,11,6,3,LOOSE
Ponferradina,Numancia,32,0,10,2,11,29,-2,7,8,8,3,6,WIN
Murcia,Guadalajara,27,-5,7,6,10,25,-5,6,7,10,8,1,LOOSE
Guadalajara,Murcia,25,-5,6,7,10,27,-5,7,6,10,1,8,WIN
Racing,Sabadell,18,-17,4,6,13,33,6,9,6,8,5,8,LOOSE
Sabadell,Racing,33,6,9,6,8,18,-17,4,6,13,8,5,WIN
Lugo,RMCastilla,33,-4,9,6,8,25,0,7,4,12,6,6,WIN
RMCastilla,Lugo,25,0,7,4,12,33,-4,9,6,8,6,6,LOOSE
Elche,Almería,53,22,16,5,2,42,12,12,6,5,15,12,WIN
Almería,Elche,42,12,12,6,5,53,22,16,5,2,12,15,LOOSE
Alcorcón,BarcelonaB,41,4,13,2,8,39,15,11,6,6,10,9,DRAW
BarcelonaB,Alcorcón,39,15,11,6,6,41,4,13,2,8,9,10,DRAW
Girona,Villarreal,41,15,12,5,6,35,4,9,8,6,10,13,WIN
Villarreal,Girona,35,4,9,8,6,41,15,12,5,6,13,10,LOOSE
Sporting,Huesca,28,-1,6,10,7,23,-9,5,8,10,2,8,WIN
Huesca,Sporting,23,-9,5,8,10,28,-1,6,10,7,8,2,LOOSE
Córdoba,Recreativo,36,6,10,6,7,31,-7,9,4,10,5,7,LOOSE
Recreativo,Córdoba,31,-7,9,4,10,36,6,10,6,7,7,5,WIN
LasPalmas,Mirandés,36,1,10,6,7,24,-6,5,9,9,4,5,WIN
Mirandés,LasPalmas,24,-6,5,9,9,36,1,10,6,7,5,4,LOOSE
Hércules,Numancia,20,-14,5,5,13,29,-2,7,8,8,3,6,LOOSE
Numancia,Hércules,29,-2,7,8,8,20,-14,5,5,13,6,3,WIN
Ponferradina,Murcia,32,0,10,2,11,27,-5,7,6,10,3,8,WIN
Murcia,Ponferradina,27,-5,7,6,10,32,0,10,2,11,8,3,LOOSE
Guadalajara,Racing,25,-5,6,7,10,18,-17,4,6,13,1,5,DRAW
Racing,Guadalajara,18,-17,4,6,13,25,-5,6,7,10,5,1,DRAW
Sabadell,Lugo,33,6,9,6,8,33,-4,9,6,8,8,6,LOOSE
Lugo,Sabadell,33,-4,9,6,8,33,6,9,6,8,6,8,WIN
RMCastilla,Elche,25,0,7,4,12,53,22,16,5,2,6,15,LOOSE
Elche,RMCastilla,53,22,16,5,2,25,0,7,4,12,15,6,WIN
Almería,Alcorcón,42,12,12,6,5,41,4,13,2,8,12,10,LOOSE
Alcorcón,Almería,41,4,13,2,8,42,12,12,6,5,10,12,WIN
BarcelonaB,Girona,39,15,11,6,6,41,15,12,5,6,9,10,DRAW
Girona,BarcelonaB,41,15,12,5,6,39,15,11,6,6,10,9,DRAW
Xerez,Villarreal,22,-15,5,7,11,35,4,9,8,6,6,13,DRAW
Villarreal,Xerez,35,4,9,8,6,22,-15,5,7,11,13,6,DRAW
Villarreal,BarcelonaB,35,4,9,8,6,39,15,11,6,6,13,9,LOOSE
BarcelonaB,Villarreal,39,15,11,6,6,35,4,9,8,6,9,13,WIN
Xerez,Huesca,22,-15,5,7,11,23,-9,5,8,10,6,8,DRAW
Huesca,Xerez,23,-9,5,8,10,22,-15,5,7,11,8,6,DRAW
Recreativo,Sporting,31,-7,9,4,10,28,-1,6,10,7,7,2,DRAW
Sporting,Recreativo,28,-1,6,10,7,31,-7,9,4,10,2,7,DRAW
Mirandés,Córdoba,24,-6,5,9,9,36,6,10,6,7,5,5,DRAW
Córdoba,Mirandés,36,6,10,6,7,24,-6,5,9,9,5,5,DRAW
Numancia,LasPalmas,29,-2,7,8,8,36,1,10,6,7,6,4,WIN
LasPalmas,Numancia,36,1,10,6,7,29,-2,7,8,8,4,6,LOOSE
Murcia,Hércules,27,-5,7,6,10,20,-14,5,5,13,8,3,WIN
Hércules,Murcia,20,-14,5,5,13,27,-5,7,6,10,3,8,LOOSE
Racing,Ponferradina,18,-17,4,6,13,32,0,10,2,11,5,3,WIN
Ponferradina,Racing,32,0,10,2,11,18,-17,4,6,13,3,5,LOOSE
Lugo,Guadalajara,33,-4,9,6,8,25,-5,6,7,10,6,1,DRAW
Guadalajara,Lugo,25,-5,6,7,10,33,-4,9,6,8,1,6,DRAW
Elche,Sabadell,53,22,16,5,2,33,6,9,6,8,15,8,WIN
Sabadell,Elche,33,6,9,6,8,53,22,16,5,2,8,15,LOOSE
Alcorcón,RMCastilla,41,4,13,2,8,25,0,7,4,12,10,6,WIN
RMCastilla,Alcorcón,25,0,7,4,12,41,4,13,2,8,6,10,LOOSE
Girona,Almería,41,15,12,5,6,42,12,12,6,5,10,12,LOOSE
Almería,Girona,42,12,12,6,5,41,15,12,5,6,12,10,WIN
Huesca,Recreativo,23,-9,5,8,10,31,-7,9,4,10,8,7,WIN
Recreativo,Huesca,31,-7,9,4,10,23,-9,5,8,10,7,8,LOOSE
Sporting,Mirandés,28,-1,6,10,7,24,-6,5,9,9,2,5,DRAW
Mirandés,Sporting,24,-6,5,9,9,28,-1,6,10,7,5,2,DRAW
Córdoba,Numancia,36,6,10,6,7,29,-2,7,8,8,5,6,WIN
Numancia,Córdoba,29,-2,7,8,8,36,6,10,6,7,6,5,LOOSE
LasPalmas,Murcia,36,1,10,6,7,27,-5,7,6,10,4,8,WIN
Murcia,LasPalmas,27,-5,7,6,10,36,1,10,6,7,8,4,LOOSE
Hércules,Racing,20,-14,5,5,13,18,-17,4,6,13,3,5,WIN
Racing,Hércules,18,-17,4,6,13,20,-14,5,5,13,5,3,LOOSE
Ponferradina,Lugo,32,0,10,2,11,33,-4,9,6,8,3,6,LOOSE
Lugo,Ponferradina,33,-4,9,6,8,32,0,10,2,11,6,3,WIN
Guadalajara,Elche,25,-5,6,7,10,53,22,16,5,2,1,15,DRAW
Elche,Guadalajara,53,22,16,5,2,25,-5,6,7,10,15,1,DRAW
Sabadell,Alcorcón,33,6,9,6,8,41,4,13,2,8,8,10,WIN
Alcorcón,Sabadell,41,4,13,2,8,33,6,9,6,8,10,8,LOOSE
RMCastilla,Girona,25,0,7,4,12,41,15,12,5,6,6,10,DRAW
Girona,RMCastilla,41,15,12,5,6,25,0,7,4,12,10,6,DRAW
Almería,Villarreal,42,12,12,6,5,35,4,9,8,6,12,13,DRAW
Villarreal,Almería,35,4,9,8,6,42,12,12,6,5,13,12,DRAW
BarcelonaB,Xerez,39,15,11,6,6,22,-15,5,7,11,9,6,WIN
Xerez,BarcelonaB,22,-15,5,7,11,39,15,11,6,6,6,9,LOOSE
Almería,BarcelonaB,42,12,12,6,5,39,15,11,6,6,12,9,DRAW
BarcelonaB,Almería,39,15,11,6,6,42,12,12,6,5,9,12,DRAW
RMCastilla,Villarreal,25,0,7,4,12,35,4,9,8,6,6,13,WIN
Villarreal,RMCastilla,35,4,9,8,6,25,0,7,4,12,13,6,LOOSE
Sabadell,Girona,33,6,9,6,8,41,15,12,5,6,8,10,WIN
Girona,Sabadell,41,15,12,5,6,33,6,9,6,8,10,8,LOOSE
Guadalajara,Alcorcón,25,-5,6,7,10,41,4,13,2,8,1,10,WIN
Alcorcón,Guadalajara,41,4,13,2,8,25,-5,6,7,10,10,1,LOOSE
Ponferradina,Elche,32,0,10,2,11,53,22,16,5,2,3,15,DRAW
Elche,Ponferradina,53,22,16,5,2,32,0,10,2,11,15,3,DRAW
Hércules,Lugo,20,-14,5,5,13,33,-4,9,6,8,3,6,WIN
Lugo,Hércules,33,-4,9,6,8,20,-14,5,5,13,6,3,LOOSE
LasPalmas,Racing,36,1,10,6,7,18,-17,4,6,13,4,5,WIN
Racing,LasPalmas,18,-17,4,6,13,36,1,10,6,7,5,4,LOOSE
Córdoba,Murcia,36,6,10,6,7,27,-5,7,6,10,5,8,WIN
Murcia,Córdoba,27,-5,7,6,10,36,6,10,6,7,8,5,LOOSE
Sporting,Numancia,28,-1,6,10,7,29,-2,7,8,8,2,6,DRAW
Numancia,Sporting,29,-2,7,8,8,28,-1,6,10,7,6,2,DRAW
Huesca,Mirandés,23,-9,5,8,10,24,-6,5,9,9,8,5,LOOSE
Mirandés,Huesca,24,-6,5,9,9,23,-9,5,8,10,5,8,WIN
Recreativo,Xerez,31,-7,9,4,10,22,-15,5,7,11,7,6,WIN
Xerez,Recreativo,22,-15,5,7,11,31,-7,9,4,10,6,7,LOOSE
Xerez,Almería,22,-15,5,7,11,42,12,12,6,5,6,12,LOOSE
Almería,Xerez,42,12,12,6,5,22,-15,5,7,11,12,6,WIN
BarcelonaB,RMCastilla,39,15,11,6,6,25,0,7,4,12,9,6,WIN
RMCastilla,BarcelonaB,25,0,7,4,12,39,15,11,6,6,6,9,LOOSE
Villarreal,Sabadell,35,4,9,8,6,33,6,9,6,8,13,8,WIN
Sabadell,Villarreal,33,6,9,6,8,35,4,9,8,6,8,13,LOOSE
Girona,Guadalajara,41,15,12,5,6,25,-5,6,7,10,10,1,WIN
Guadalajara,Girona,25,-5,6,7,10,41,15,12,5,6,1,10,LOOSE
